facility_name,latitude,longitude,observed_datetime,hour_of_day,day_of_week,is_weekend,is_holiday,capacity,base_rate_kes,traffic_delay_index,occupied_bays,occupancy_rate,is_available
Unnamed Parking,-1.2944773,36.8101427,2026-08-05 20:00:00,20,2,0,0,50,100,1.0,21,0.4135,1
Parking B,-1.2806414,36.8128716,2026-08-05 20:00:00,20,2,0,0,50,100,1.0,25,0.5054,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-05 20:00:00,20,2,0,0,50,100,1.0,16,0.3195,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-05 20:00:00,20,2,0,0,50,100,1.0,25,0.4912,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,25,0.5054,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,20,0.3906,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,12,0.2303,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,18,0.3514,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,25,0.5038,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-05 21:00:00,21,2,0,0,50,300,1.15,20,0.3982,1
Unnamed Parking,-1.25013,36.8202579,2026-08-05 21:00:00,21,2,0,0,50,100,1.16,16,0.3201,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,18,0.3596,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-05 21:00:00,21,2,0,0,50,200,1.0,23,0.4672,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-05 21:00:00,21,2,0,0,50,50,1.0,22,0.4437,1
Student parking,-1.274479,36.805643,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,19,0.3809,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,19,0.3707,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,18,0.3687,1
Unnamed Parking,-1.259848,36.8644681,2026-08-05 21:00:00,21,2,0,0,50,100,1.19,16,0.3262,1
Travel House Parking,-1.2861727,36.8214386,2026-08-05 21:00:00,21,2,0,0,50,100,1.18,26,0.5292,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,19,0.3742,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,25,0.4974,1
Parking B,-1.2806414,36.8128716,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,26,0.5217,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,24,0.4799,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-05 21:00:00,21,2,0,0,50,100,1.0,18,0.3655,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,22,0.4323,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,20,0.3981,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,16,0.3277,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,21,0.4259,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,15,0.3057,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-05 22:00:00,22,2,0,0,50,300,1.15,25,0.495,1
Unnamed Parking,-1.25013,36.8202579,2026-08-05 22:00:00,22,2,0,0,50,100,1.16,18,0.3628,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,21,0.4161,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-05 22:00:00,22,2,0,0,50,200,1.0,21,0.4227,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-05 22:00:00,22,2,0,0,50,50,1.0,19,0.3793,1
Student parking,-1.274479,36.805643,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,22,0.4469,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,18,0.362,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,23,0.4697,1
Unnamed Parking,-1.259848,36.8644681,2026-08-05 22:00:00,22,2,0,0,50,100,1.19,15,0.2923,1
Travel House Parking,-1.2861727,36.8214386,2026-08-05 22:00:00,22,2,0,0,50,100,1.18,21,0.4101,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,28,0.5551,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,16,0.32,1
Parking B,-1.2806414,36.8128716,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,17,0.3458,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,22,0.4411,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-05 22:00:00,22,2,0,0,50,100,1.0,21,0.4144,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,21,0.4281,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,22,0.4391,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,23,0.4508,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,24,0.4888,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,22,0.4328,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 06:00:00,6,3,0,0,50,300,1.15,19,0.3807,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 06:00:00,6,3,0,0,50,100,1.16,23,0.4538,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,28,0.552,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 06:00:00,6,3,0,0,50,200,1.0,19,0.3894,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 06:00:00,6,3,0,0,50,50,1.0,16,0.322,1
Student parking,-1.274479,36.805643,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,24,0.4886,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,20,0.3904,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,11,0.2262,1
Unnamed Parking,-1.259848,36.8644681,2026-08-06 06:00:00,6,3,0,0,50,100,1.19,23,0.4678,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 06:00:00,6,3,0,0,50,100,1.18,18,0.3572,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,20,0.3928,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,21,0.4266,1
Parking B,-1.2806414,36.8128716,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,21,0.4152,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,23,0.4568,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 06:00:00,6,3,0,0,50,100,1.0,18,0.3652,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,22,0.441,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,19,0.3792,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,23,0.4591,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,22,0.4492,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,16,0.3252,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 07:00:00,7,3,0,0,50,300,1.15,24,0.4869,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 07:00:00,7,3,0,0,50,100,1.16,18,0.3571,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,23,0.4646,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 07:00:00,7,3,0,0,50,200,1.0,21,0.4294,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 07:00:00,7,3,0,0,50,50,1.0,27,0.5471,1
Student parking,-1.274479,36.805643,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,19,0.3821,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,19,0.3721,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,20,0.3984,1
Unnamed Parking,-1.259848,36.8644681,2026-08-06 07:00:00,7,3,0,0,50,100,1.19,19,0.3757,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 07:00:00,7,3,0,0,50,100,1.18,23,0.464,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,14,0.2707,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,16,0.3157,1
Parking B,-1.2806414,36.8128716,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,16,0.3146,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,24,0.476,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 07:00:00,7,3,0,0,50,100,1.0,27,0.5368,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,42,0.8416,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,42,0.8365,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,43,0.8556,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,47,0.943,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,39,0.7758,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 08:00:00,8,3,0,0,50,300,1.15,43,0.8691,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 08:00:00,8,3,0,0,50,100,1.16,46,0.928,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,45,0.8901,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 08:00:00,8,3,0,0,50,200,1.0,43,0.8652,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 08:00:00,8,3,0,0,50,50,1.0,47,0.9301,1
Student parking,-1.274479,36.805643,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,32,0.6337,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,45,0.9042,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,40,0.7977,1
Unnamed Parking,-1.259848,36.8644681,2026-08-06 08:00:00,8,3,0,0,50,100,1.19,35,0.7035,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 08:00:00,8,3,0,0,50,100,1.18,45,0.8909,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,48,0.9599,0
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,42,0.839,1
Parking B,-1.2806414,36.8128716,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,46,0.9262,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,49,0.979,0
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 08:00:00,8,3,0,0,50,100,1.0,48,0.9552,0
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,49,0.9812,0
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,45,0.9094,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,43,0.856,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,36,0.7218,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,42,0.8303,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 09:00:00,9,3,0,0,50,300,1.15,39,0.7825,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 09:00:00,9,3,0,0,50,100,1.16,50,1.0,0
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,42,0.8359,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 09:00:00,9,3,0,0,50,200,1.0,43,0.8599,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 09:00:00,9,3,0,0,50,50,1.0,45,0.8941,1
Student parking,-1.274479,36.805643,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,43,0.8535,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,49,0.9856,0
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,40,0.8002,1
Unnamed Parking,-1.259848,36.8644681,2026-08-06 09:00:00,9,3,0,0,50,100,1.19,43,0.8656,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 09:00:00,9,3,0,0,50,100,1.18,40,0.7906,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,37,0.7444,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,40,0.8011,1
Parking B,-1.2806414,36.8128716,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,42,0.847,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,41,0.8157,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 09:00:00,9,3,0,0,50,100,1.0,40,0.7946,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,37,0.7375,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,42,0.8434,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,36,0.7296,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,46,0.9108,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,43,0.8566,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 10:00:00,10,3,0,0,50,300,1.15,37,0.7334,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 10:00:00,10,3,0,0,50,100,1.16,41,0.8253,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,39,0.7898,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 10:00:00,10,3,0,0,50,200,1.0,44,0.8755,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 10:00:00,10,3,0,0,50,50,1.0,48,0.9572,0
Student parking,-1.274479,36.805643,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,35,0.7,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,43,0.8592,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,42,0.8372,1
Unnamed Parking,-1.259848,36.8644681,2026-08-06 10:00:00,10,3,0,0,50,100,1.19,45,0.9037,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 10:00:00,10,3,0,0,50,100,1.18,43,0.8671,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,39,0.7898,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,41,0.8245,1
Parking B,-1.2806414,36.8128716,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,39,0.7863,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,47,0.9361,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 10:00:00,10,3,0,0,50,100,1.0,43,0.8517,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,50,1.0,0
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,42,0.8451,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,40,0.7933,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,36,0.7289,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,35,0.7057,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 11:00:00,11,3,0,0,50,300,1.15,36,0.7233,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 11:00:00,11,3,0,0,50,100,1.16,44,0.8714,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,45,0.8907,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 11:00:00,11,3,0,0,50,200,1.0,36,0.7235,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 11:00:00,11,3,0,0,50,50,1.0,46,0.9216,1
Student parking,-1.274479,36.805643,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,41,0.8114,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,43,0.8617,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,49,0.979,0
Unnamed Parking,-1.259848,36.8644681,2026-08-06 11:00:00,11,3,0,0,50,100,1.19,46,0.9217,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 11:00:00,11,3,0,0,50,100,1.18,41,0.8285,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,39,0.7787,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,34,0.6779,1
Parking B,-1.2806414,36.8128716,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,40,0.7925,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,42,0.8331,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 11:00:00,11,3,0,0,50,100,1.0,39,0.771,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,34,0.6895,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,35,0.7061,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,34,0.682,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,32,0.648,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,36,0.7135,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 12:00:00,12,3,0,0,50,300,1.15,37,0.7354,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 12:00:00,12,3,0,0,50,100,1.16,31,0.6128,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,41,0.8129,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 12:00:00,12,3,0,0,50,200,1.0,35,0.6921,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 12:00:00,12,3,0,0,50,50,1.0,35,0.7015,1
Student parking,-1.274479,36.805643,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,38,0.7567,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,36,0.7187,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,39,0.7763,1
Unnamed Parking,-1.259848,36.8644681,2026-08-06 12:00:00,12,3,0,0,50,100,1.19,36,0.723,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 12:00:00,12,3,0,0,50,100,1.18,33,0.651,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,36,0.7289,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,30,0.6085,1
Parking B,-1.2806414,36.8128716,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,35,0.7087,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,35,0.6973,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 12:00:00,12,3,0,0,50,100,1.0,34,0.6834,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,42,0.8397,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,35,0.6995,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,40,0.8061,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,43,0.8574,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,43,0.8628,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 13:00:00,13,3,0,0,50,300,1.15,38,0.7678,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 13:00:00,13,3,0,0,50,100,1.16,48,0.9513,0
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,39,0.7807,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 13:00:00,13,3,0,0,50,200,1.0,46,0.9276,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 13:00:00,13,3,0,0,50,50,1.0,44,0.8842,1
Student parking,-1.274479,36.805643,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,40,0.7983,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,50,0.992,0
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,38,0.7545,1
Unnamed Parking,-1.259848,36.8644681,2026-08-06 13:00:00,13,3,0,0,50,100,1.19,46,0.9235,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 13:00:00,13,3,0,0,50,100,1.18,47,0.93,1
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,40,0.7964,1
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,48,0.9614,0
Parking B,-1.2806414,36.8128716,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,41,0.83,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,44,0.8731,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 13:00:00,13,3,0,0,50,100,1.0,44,0.8708,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,42,0.8393,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,46,0.9149,1
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,46,0.9135,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,36,0.7101,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,48,0.9543,0
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 14:00:00,14,3,0,0,50,300,1.15,36,0.717,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 14:00:00,14,3,0,0,50,100,1.16,47,0.9326,1
Olympic Bus Terminus,-1.3126351,36.7778212,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,47,0.9401,1
Ayany Car Park,-1.3090339,36.7757579,2026-08-06 14:00:00,14,3,0,0,50,200,1.0,38,0.7627,1
Westgate Mall Car Park,-1.2566578,36.8035661,2026-08-06 14:00:00,14,3,0,0,50,50,1.0,41,0.8171,1
Student parking,-1.274479,36.805643,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,38,0.7615,1
Kenton Rear Parking,-1.2809847,36.7869545,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,42,0.8328,1
Unnamed Parking,-1.2553877,36.8667692,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,41,0.8254,1
Unnamed Parking,-1.259848,36.8644681,2026-08-06 14:00:00,14,3,0,0,50,100,1.19,46,0.9124,1
Travel House Parking,-1.2861727,36.8214386,2026-08-06 14:00:00,14,3,0,0,50,100,1.18,48,0.9548,0
Lenana Parking Lot Area,-1.2900918,36.800209,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,48,0.9617,0
Unnamed Parking,-1.2944773,36.8101427,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,40,0.805,1
Parking B,-1.2806414,36.8128716,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,42,0.8333,1
MAIN PACKING,-1.2803274,36.8127162,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,36,0.7153,1
YMCA STAFF PARKING,-1.2805756,36.8129968,2026-08-06 14:00:00,14,3,0,0,50,100,1.0,39,0.7855,1
Unnamed Parking,-1.2896057,36.8150615,2026-08-06 15:00:00,15,3,0,0,50,100,1.0,46,0.9272,1
Unnamed Parking,-1.2909796,36.8282672,2026-08-06 15:00:00,15,3,0,0,50,100,1.0,49,0.9792,0
Unnamed Parking,-1.2856445,36.8132893,2026-08-06 15:00:00,15,3,0,0,50,100,1.0,38,0.7513,1
Unnamed Parking,-1.2597359,36.8182597,2026-08-06 15:00:00,15,3,0,0,50,100,1.0,40,0.8026,1
Unnamed Parking,-1.2641049,36.8117123,2026-08-06 15:00:00,15,3,0,0,50,100,1.0,42,0.8479,1
InterContinental Hotel Car Park,-1.2873717,36.8192911,2026-08-06 15:00:00,15,3,0,0,50,300,1.15,44,0.8724,1
Unnamed Parking,-1.25013,36.8202579,2026-08-06 15:00:00,15,3,0,0,50,100,1.16,39,0.7852,1
